,CtrlFemaleFB1,CtrlFemaleFB2,CtrlFemaleFB3,NitoKDFemaleFB1,NitoKDFemaleFB2,NitoKDFemaleFB3,CtrlMaleFB1,CtrlMaleFB2,CtrlMaleFB3,NitoKDMaleFB1,NitoKDMaleFB2,NitoKDMaleFB3
y,160.5616561,86.39772527,213.1911087,20.29547135,32.52195632,20.50071092,22.65839191,50.459053,44.88344551,11.8481657,12.96652369,35.24310965
ac,14.90929664,31.41735465,10.48480863,47.35609981,14.45420281,25.62588866,13.59503515,11.21312289,19.01840911,23.69633139,15.8479734,17.62155483
sc,27.52485533,71.81109633,15.72721294,49.04738909,34.32873168,66.6273105,48.33790274,44.05155421,15.97546366,29.62041424,8.644349126,49.34035352
l(1)sc,6.881213834,7.854338661,6.989872418,3.382578558,18.06775351,10.25035546,6.042237843,16.01874699,13.69325456,0,5.762899417,0
ase,2.293737945,35.90554817,31.45442588,50.73867837,18.06775351,15.37553319,12.08447569,40.04686746,56.29449098,2.962041424,15.8479734,17.62155483
CG13373,0,0,0,0,0,0,0,0,0,0,0,0
CG32817,21.79051047,15.70867732,8.737340522,8.456446394,9.033876757,5.125177731,35.49814733,32.83843132,41.07976368,45.91164207,34.5773965,40.5295761
CG3176,16.05616561,16.8307257,25.33828751,47.35609981,28.90840562,12.81294433,163.8957015,217.854959,90.52762738,140.6969676,195.9385802,255.512545
CG3156,837.2143498,758.504705,1106.14731,547.9777263,579.9748878,591.9580279,829.2971439,865.8132746,1218.699656,725.7001489,554.6790689,540.9817332
CG17778,29.81859328,19.07482246,17.47468104,30.44320702,21.68130422,23.06329979,26.43479056,27.23186988,30.42945458,25.17735211,53.30681961,10.5729329
arg,6759.645723,6743.510765,8158.054845,4500.520771,5216.160439,4884.294378,4033.94904,5199.685271,4210.675778,3440.411114,3591.727062,3670.56987
CG17896,32801.59948,25924.92782,47053.19991,47721.41829,53287.22544,45529.51637,25616.06734,30043.15997,35540.84221,26034.8631,22978.1207,24751.23591
CG18273,1588.413527,1275.769008,2202.683546,492.1651801,556.4868082,581.7076725,1097.421448,1325.551313,2100.393102,490.2178557,462.4726782,394.7228281
CR18275,19.49677253,12.34253218,18.3484151,50.73867837,30.71518097,10.25035546,26.43479056,38.44499277,28.90798185,20.73428997,38.89957107,24.67017676
Cyp4g1,3133.246032,2015.198891,4042.76746,1216.036991,697.4152856,1068.599557,616.30826,1325.551313,1914.77343,1621.71768,943.6747796,782.3970343
Pgcl,270.6610775,315.2955948,16.60094699,6.765157115,0,0,70.24101492,51.25999035,0,8.886124273,57.62899417,186.7884812
CG32816,92.89638675,71.81109633,92.61580953,40.59094269,39.74905773,56.37695504,49.09318247,40.84780481,60.85890916,31.10143495,63.39189359,24.67017676
CG13375,16.05616561,10.09843542,27.08575562,13.53031423,18.06775351,20.50071092,93.65468657,80.09373493,82.92026373,47.39266279,54.74754446,38.76742062
CG3038,280.9828982,354.5672881,280.4686308,262.1498382,207.7791654,225.5078202,149.5453866,217.854959,254.0859458,260.6596453,149.8353848,170.9290818
Appl,338.3263468,317.5396916,553.073655,280.7540203,390.2634759,192.1941649,100.4522041,185.817465,769.1044645,59.24082848,103.7321895,123.3508838
CG13369,3659.65889,3727.444719,4401.872155,5735.161945,5933.450254,5858.078147,1993.938488,2318.713626,2409.252066,2071.947976,2313.804116,2567.460538
Hinfp,1059.70693,1015.453784,1335.065632,1222.802149,979.2722404,1163.415345,949.3866211,1158.155407,1068.834592,937.4861108,654.0890839,780.6348788
Mybbp1A,1744.387707,1785.178973,2837.014468,299.3582024,617.9171702,430.5149294,1123.856239,1459.30785,2219.828712,506.5090835,505.6944239,614.9922635
su(sable),2983.006197,3059.825933,3025.741023,5055.263654,5263.136598,4633.160669,2806.619478,2774.446978,2488.368648,4394.188453,2907.382756,3732.245312
CG13367,1453.082988,1517.00941,1654.852295,1172.06347,1291.844376,1263.356311,1355.727116,1452.099414,1271.951202,1258.867605,1210.208878,1332.189545
Roc1a,11724.4415,12984.34386,12398.2862,22522.89933,21932.44599,25210.74926,9345.831384,9881.965015,7602.038491,13426.93378,14699.71569,14638.22559
CG5254,7267.708677,6220.63622,7048.412599,12706.65635,12280.65206,11980.10295,5175.931992,5472.00397,4501.277069,6190.666577,4590.149386,5415.103798
CG5273,2719.226333,1161.320074,2196.567407,1425.756862,1707.402707,1189.041234,2538.495174,2047.996802,2622.258249,1768.33873,1387.418035,1725.150218
fz3,443.8382923,285.0002886,334.640142,153.9073244,216.8130422,123.0042655,388.2137814,369.232118,458.7240278,213.2669825,252.1268495,271.3719443
CG16989,3686.036877,2929.668321,3665.314349,3276.027333,3384.090233,3100.732527,2674.445525,2929.027886,3498.62654,2551.798687,1885.908834,2197.407887
CG14635,0,0,0,3.382578558,0,0,0,0,0,0,0,0
CG13358,6.881213834,4.488193521,1.747468104,6.765157115,10.84065211,35.87624412,9.063356764,1.601874699,7.607363645,17.77224855,2.881449709,3.524310965
CG13359,2.293737945,0,0,3.382578558,7.227101405,15.37553319,375.374026,358.0189951,480.7853824,305.0902667,468.2355776,304.8528985
Rbf,2827.032017,2505.534033,3646.0922,1887.478835,2218.720131,2206.389013,2611.002028,2961.866318,4073.743232,1528.413375,1617.934011,1853.787568
CG13360,70373.02701,78970.88705,118668.8115,38221.44641,56734.55281,51648.97858,39523.78829,50024.14402,51027.15239,25338.78336,22247.6732,30559.30038
RpL22,39501.60801,34795.84232,40727.36538,62981.92145,68993.52357,62047.9642,26372.10235,30914.57981,22798.50811,44489.86219,42678.59236,40837.95331
CG13361,0,1.12204838,3.494936209,10.14773567,3.613550703,0,0,3.203749397,9.128836374,2.962041424,0,0
CG13362,2.293737945,4.488193521,3.494936209,3.382578558,5.420326054,15.37553319,1.510559461,0,0,0,0,0
Hmt4-20,4120.700217,3658.999768,3653.955806,6435.355706,6430.313475,5873.45368,3643.469419,3478.470908,3818.135814,4420.846826,2748.903022,4491.734325
RpL36,159831.1006,203468.8871,190052.8836,354225.3178,330283.9545,430289.4216,112165.0822,137703.5566,92832.65856,231616.8292,274424.9481,326009.3372
CG13364,10936.54252,11691.74412,12988.93042,9371.433894,9438.594435,10998.63141,6366.252847,7363.017052,5464.369306,7005.227968,10272.36821,7850.402675
CG13365,943.8731642,969.4498005,1043.238458,1210.963124,1013.600972,1329.983621,709.2076668,734.4595493,639.7792826,832.3336402,1028.677546,787.6835008
spdi,2909.606583,2883.664337,2673.6262,5672.584241,5407.678627,5161.053975,2545.292691,2445.261727,2383.38703,4377.897225,3111.965685,3645.899694
CG14634,0,0,0,0,0,0,3.021118921,4.805624096,0,0,1.440724854,3.524310965
CG11664,0,0,0,0,0,0,6.042237843,9.611248191,3.042945458,0,0,17.62155483
CG11663,0,0,1.747468104,0,0,0,1058.146902,1080.464484,992.7609557,807.1562881,1475.302251,1069.628378
MED22,735.1430112,884.1741236,772.3809022,1029.995171,1033.475501,1081.412501,834.5841021,853.7992143,798.7731828,1018.94225,1302.415268,1316.330146
CG32815,151.3867043,112.204838,154.6509272,116.6989602,128.2810499,120.4416767,118.5789177,107.3256048,149.1043274,82.93715988,72.03624272,65.19975286
TRAM,68744.47307,70781.05592,90565.15571,50192.39193,63506.34682,58432.15131,44007.88405,59391.90726,50746.44067,40393.3589,35018.25831,43470.6136
mus81,86.01517292,87.51977366,114.4591608,116.6989602,66.850688,56.37695504,83.08077034,51.25999035,112.588982,68.12695276,70.59551786,56.38897545
CG18823,0,0,0,0,0,0,139.7267501,101.7190434,178.0123093,208.8239204,242.0417755,222.0315908
CG14631,0,4.488193521,0,0,0,0,224.3180799,274.7215108,191.7055639,134.7728848,230.5159767,193.8371031
CG3021,1830.40288,1832.305005,2014.830724,1731.880222,1907.954771,2111.573225,1536.238972,1666.750624,1604.392993,1757.971585,1953.622902,1695.193574
CG14629,61530.66723,72879.28639,59871.75219,131276.1825,130803.3083,139302.3307,56877.85065,53580.30585,37220.54811,82149.25686,60849.01422,77194.74523
CG14628,1.146868972,2.24409676,5.242404313,0,0,0,601.9579451,691.2089324,628.3682371,691.6366725,1110.798863,930.4180949
CG3655,1527.629471,1022.186074,1105.273576,630.850901,585.3952138,458.7034069,697.8784709,811.3495348,1196.638301,528.7243942,298.2300448,447.5874926
Cdc45,756.9335217,798.8984467,1406.711824,476.9435766,594.4290906,489.4544733,590.6287491,667.1808119,959.2885557,322.8625152,354.4183142,366.5283404
CG11638,96.33699367,84.15362851,148.5347889,23.6780499,65.04391265,30.75106639,109.5155609,142.5668482,219.8528094,57.75980777,51.86609475,74.01053027
TfIIA-S-2,56.19657964,15.70867732,32.32815993,20.29547135,3.613550703,0,260.571507,321.9768144,319.5092731,345.0778259,357.2997639,512.7872455
CG3690,10203.69325,7540.165115,8356.392475,4618.911021,6280.351121,5294.308596,5020.344368,6775.129038,6820.762244,3748.463422,3101.880611,4035.336055
CG3699,5551.992695,4140.358523,6257.683282,4732.227402,4365.169249,4827.917423,4286.96775,6542.857206,6922.700917,5349.446812,3927.415953,4794.825068
CG3703,43.58102095,17.95277408,33.20189398,16.91289279,16.26097816,15.37553319,27.19007029,40.04686746,51.73007279,28.13939353,69.15479301,52.86466448
CG3704,1003.510351,1074.922348,1466.12574,556.4341727,670.3136553,594.5206168,755.2797304,808.9467228,1023.19041,582.0411398,556.1197938,491.6413797
CG3706,173.1772148,117.8150799,13.97974484,3.382578558,19.87452886,15.37553319,126.8869947,71.28342409,73.79142736,28.13939353,106.6136392,38.76742062
CG3708,4.587475889,6.732290281,5.242404313,3.382578558,14.45420281,0,218.2758421,209.8455855,266.2577276,103.6714498,327.0445419,144.4967496
CG3713,2.293737945,2.24409676,0,0,5.420326054,5.125177731,1.510559461,1.601874699,2.282209094,0,0,0
CG32814,4.587475889,8.976387042,10.48480863,15.22160351,3.613550703,5.125177731,39.27454598,16.01874699,51.73007279,17.77224855,11.52579883,17.62155483
CG11378,1410.648836,875.1977366,256.8778113,180.9679528,399.2973526,184.5063983,1040.775468,941.9023227,766.0615191,361.3690537,571.9677672,551.5546661
CG11379,0,0,0,0,0,0,382.1715436,380.4452409,445.7915096,257.6976039,355.859039,222.0315908
CG14627,0,0,0,0,0,5.125177731,34.7428676,46.45436626,28.90798185,26.65837282,23.05159767,59.91328641
CG14626,16.05616561,15.70867732,8.737340522,3.382578558,14.45420281,0,11.32919596,2.402812048,1.521472729,0,8.644349126,0
CG11380,0,4.488193521,0,0,0,5.125177731,0,0,0,0,0,0
CG14625,0,0,0,0,3.613550703,0,0,0,0,0,0,0
CG11381,0,2.24409676,0,0,0,0,0,0,1.521472729,2.962041424,0,0
CG14624,0,0,0,0,0,0,0,0.800937349,0,0,0,0
CG11382,11.46868972,22.4409676,15.72721294,27.06062846,25.29485492,10.25035546,6.042237843,9.611248191,16.73620002,5.924082848,2.881449709,59.91328641
CG32812,9.174951778,13.46458056,0,3.382578558,9.033876757,10.25035546,191.8410515,189.0212144,203.8773457,156.9881955,247.8046749,190.3127921
fs(1)N,4.587475889,8.976387042,1.747468104,0,0,5.125177731,176.7354569,92.10779517,356.785355,44.43062136,80.68059184,56.38897545
Naa30A,5728.610516,5884.021706,5681.018807,5559.26786,6547.753873,5768.387536,4026.396243,4110.410476,3570.135759,4028.376337,3663.763304,3792.158599
Tsp2A,1755.856397,1129.902719,1036.248586,940.356839,1324.366333,1137.789456,875.3692075,930.6891999,758.4541554,724.2191282,1057.492043,733.0566808
CG11417,2250.156924,1871.576698,2990.791661,684.9721579,852.7979658,743.150771,1353.461277,1581.050327,1932.270366,607.218492,655.5298087,703.1000376
CG14770,13.76242767,15.70867732,19.22214915,0,21.68130422,5.125177731,9.063356764,22.42624578,15.21472729,2.962041424,2.881449709,0
ssx,4983.145684,5071.658678,5614.615019,8091.12791,8696.009766,7995.27726,5074.724508,5291.793067,5071.829342,5792.272005,4830.750436,5524.357438
AMPKalpha,5613.923619,4811.343454,4571.376561,10824.25138,9830.664687,8592.360466,4607.206355,4431.586354,3825.743177,6557.959713,5986.21177,6435.391823
CG32813,1238.61849,693.425899,657.0480073,840.5707716,822.0827849,607.3335611,822.4996264,861.0076505,846.6995737,605.7374712,417.8102077,671.3812389
Rilpl,1787.968728,1717.85607,1744.846902,1512.012615,1434.579629,1570.866975,1487.901069,1486.53972,1467.460447,1346.247827,1296.652369,1268.751948
Lrpprc2,2115.973254,1898.505859,2498.005655,1755.558271,2059.723901,1752.810784,1371.58799,1637.115942,2000.736639,1208.512901,1244.786274,1159.498308
CG14785,100.9244696,102.1064026,136.3025121,23.6780499,77.69134011,35.87624412,1097.421448,840.1832794,1495.607693,496.1419385,793.8393947,713.6729705
CG3719,1899.215018,1890.651521,2504.121794,1358.105291,1472.521911,1465.800831,1121.5904,1335.162561,1347.264102,931.5620279,966.7263772,1050.244668
png,16.05616561,6.732290281,15.72721294,16.91289279,0,0,12.08447569,8.009373493,6.085890916,2.962041424,8.644349126,14.09724386
CG12773,7213.805836,6023.155705,5767.518479,9576.079897,10043.86418,9143.317072,5815.653924,4938.579696,4568.221869,5928.52591,6402.581253,5876.788535
MTPAP,1002.363482,921.2017201,1494.085229,657.9115295,746.1982201,666.273105,959.9605373,1041.218554,1412.687429,585.0031813,671.3777821,518.0737119
CG11409,121.5681111,71.81109633,66.40378797,125.1554066,101.1794197,71.75248823,115.5577987,97.71435661,63.14111826,94.78532557,46.10319534,89.86992962
DAAM,3657.365153,3019.432191,3051.953044,2476.047504,2831.216976,2006.507082,2772.63189,2904.999766,3042.945458,1935.694071,1040.203345,1422.059475
CG32811,2.293737945,4.488193521,13.10601078,3.382578558,3.613550703,0,109.5155609,130.5527879,148.3435911,133.2918641,207.464379,181.5020147
Atf3,2612.567519,1509.155071,2359.081941,2019.399399,2605.370057,3082.794405,1846.658941,1763.664043,2319.485175,1372.9062,2215.834826,1330.427389
CG11403,173.1772148,181.7718376,172.9993423,169.1289279,99.37264432,66.6273105,191.8410515,160.9884072,182.5767275,106.6334913,108.0543641,100.4428625
CG11398,173.1772148,226.6537728,277.8474286,245.2369454,254.7553245,222.9452313,166.1615407,164.993094,194.7485093,263.6216868,195.9385802,179.7398592
CG11384,25.23111739,2.24409676,23.59081941,0,9.033876757,12.81294433,7.552797304,8.009373493,4.564418187,0,0,0
eIF4E7,0,0,0,0,0,0,1522.643936,1504.961279,1555.705865,1224.804129,1648.189233,1108.395799
CG14777,1008.097827,964.961607,1272.15678,615.6292975,504.090323,520.2055397,623.8610573,684.8014336,640.5400189,225.1151482,410.6065835,280.1827217
CG14778,99.77760059,129.0355637,108.3430225,69.34286043,32.52195632,20.50071092,87.61244872,75.28811083,86.72394556,63.68389062,64.83261844,91.6320851
CG14780,475.9506235,332.1263205,704.2296461,64.2689926,77.69134011,61.50213277,434.285845,542.2345855,621.5216098,50.35470421,136.8688612,162.1183044
rush,5949.956228,5958.076899,5517.63054,7757.943922,7480.049955,7298.253089,5299.042588,5056.317486,4440.41816,6057.374712,6706.574197,5346.379734
inc,5577.223812,6213.90393,5919.548204,7237.026824,7678.795243,7641.639997,4733.33807,4791.207223,4332.393596,6107.729417,5126.099032,5758.724117
dor,2055.189198,2053.348536,1612.91306,2932.69561,3011.894511,2506.21191,2172.184505,1893.415894,1459.853084,2009.745106,1969.470876,2017.668028
hfw,4518.663751,4199.827087,3513.284624,6592.645609,7796.235641,6760.109427,4384.398835,3802.049597,2976.000658,4614.860539,3708.425775,4271.46489
CG14797,18.34990356,7.854338661,17.47468104,13.53031423,0,0,91.38884737,59.26936385,73.030691,39.98755923,14.40724854,10.5729329
b6,4.587475889,7.854338661,3.494936209,5.073867837,0,0,24.16895137,23.22718313,30.42945458,11.8481657,25.93304738,3.524310965
Scgdelta,27.52485533,25.80711274,50.67657503,6.765157115,10.84065211,10.25035546,1.510559461,13.61593494,55.53375461,0,5.762899417,5.286466448
CG3795,0,0,0,0,0,0,207.7019259,250.6933903,256.3681548,205.861879,312.6372934,156.831838
a6,614.7217691,764.1149469,710.3457844,1285.379852,981.0790158,1078.849912,715.2499047,519.0074023,508.9326279,636.8389062,473.9984771,585.0356203
CG3740,4321.402287,4525.221117,4484.87689,2186.837038,2182.584624,2260.203379,3212.204693,2836.920091,2088.982057,1495.830919,1587.678789,1600.037178
Mur2B,379.6136298,216.5553374,462.2053136,321.344963,294.5043823,263.9466531,210.7230448,193.8268385,525.6688279,108.114512,126.7837872,142.7345941
CG14795,0,0,0,0,0,0,0,0,0,0,0,0
sta,205678.3346,231622.203,281286.4458,305511.1128,305892.4873,327101.6557,126397.5734,163605.0695,142997.1359,251207.7711,264927.6898,287051.6038
snoRNA:M,0,0,0,0,0,15.37553319,0,0,0,0,0,0
Rab27,43.58102095,54.98037063,27.08575562,62.57770332,9.033876757,28.18847752,43.05094463,55.2646771,57.8159637,32.58245567,25.93304738,14.09724386
CG32808,193.8208563,160.4529184,164.2620018,123.4641174,142.7352528,97.37837689,113.2919596,127.3490385,113.3497183,100.7094084,74.91769242,21.14586579
O-fut2,2660.736016,2935.278563,2748.767328,3516.190411,3871.919578,3203.236082,1769.620408,2182.554277,1611.23962,2843.559767,2831.024339,2814.162306
CG14787,1708.834769,1972.561052,1496.706431,2325.522758,2870.966033,2741.970086,2852.691542,3846.101151,2556.834921,3550.006647,5260.086443,4750.771181
CG32806,0,0,0,0,0,0,706.9418276,714.4361156,834.5277919,522.8003114,770.7877971,782.3970343
MED18,1331.514877,1579.844119,1601.554518,1745.410536,1976.612234,2001.381904,1028.690993,1132.525412,969.1781284,1300.336185,1460.895002,1409.724386
CG14803,617.0155071,566.634432,759.2748914,554.7428835,682.9610828,433.0775183,679.7517573,665.5789372,812.4664373,602.7754298,528.7460215,468.7333584
Vps26,5644.889081,6020.911608,5127.071418,10751.52595,11478.44381,10152.97709,5117.020173,5351.062431,4479.976451,7856.814878,5718.236947,7702.381615
CG14805,3413.082061,3068.80232,4265.569643,1885.787546,2198.845603,1911.691294,1807.384395,2267.453636,2247.215221,1199.626777,1192.920179,1429.108096
Coa8,1469.139153,1575.355926,1629.514007,1819.827264,1844.717634,2616.403232,1286.241381,1511.368778,1226.30702,1466.210505,1714.462577,1638.804599
mRpL16,1986.37706,2166.675422,3060.690385,2467.591058,2202.459153,2785.534097,1685.784358,2084.83992,1951.288775,1633.565845,1832.602015,1832.641702
mip130,2828.178886,2550.415968,2895.554649,1938.217514,2030.815495,2065.446626,1976.567054,2197.772086,1873.693666,1577.287058,1496.913124,1406.200075
Rbcn-3B,3360.326089,2269.903873,2318.890175,4656.119385,5257.716272,3964.324975,2447.861606,2715.978551,2706.699985,3287.865981,2231.682799,3060.864073
Ocrl,2729.548154,2419.136308,2510.237932,3487.438493,3158.243314,2949.539784,2773.38717,2607.852009,2555.313448,2802.091187,2637.967208,2835.308172
CG11596,2782.304127,2745.652386,3643.470998,2856.587592,3145.595887,3108.420294,2294.539821,2229.008643,2358.28273,2574.013998,2204.309027,2407.104389
CG3587,1066.588144,1209.568154,1435.545048,803.3624074,843.7640891,1107.03839,833.0735426,933.8929493,721.9388099,753.8395425,753.4990988,893.4128297
CG4194,20.6436415,17.95277408,37.57056424,10.14773567,16.26097816,25.62588866,12.08447569,28.03280722,16.73620002,8.886124273,23.05159767,0
Rtca,743.171094,833.6819465,802.961594,602.0989833,527.5784026,507.3925954,864.7952913,940.300448,1090.895947,721.2570868,960.9634778,875.7912749
CG4045,1512.720174,1543.938571,2129.289885,820.2753002,896.1605743,763.6514819,950.8971805,965.1295059,963.0922375,565.749912,589.2564654,680.1920163
CG4199,6400.675734,5853.726399,4690.204392,14200.06479,13505.64575,14535.00405,7324.702825,5964.58044,4086.67575,11677.84831,12133.78472,9526.212539
CG14054,0,0,0.873734052,0,0,0,28.70062975,25.62999518,50.20860006,14.81020712,30.25522194,3.524310965
CG4281,2158.407406,1965.828762,2169.481652,2147.937384,2529.485492,2088.509925,1824.755829,1942.273072,2019.755048,1580.2491,1495.472399,1881.982056
Sik2,79.13395909,54.98037063,66.40378797,187.73311,193.3249626,194.7567538,212.2336042,177.0071542,208.4417639,204.3808583,177.2091571,100.4428625
moody,2036.839295,1841.281392,2630.813231,1951.747828,2704.742701,2011.632259,1674.455162,1794.9006,1965.742766,1652.819115,1393.180934,1307.519368
CG4325,3877.563995,5224.257258,4283.918058,5398.595378,5019.221926,5637.695504,3296.040743,3473.665284,2667.90243,4269.782713,4513.790969,4045.908988
Actn,8725.379141,7240.578197,8985.480993,5953.338262,6327.32728,5922.142868,7412.315274,7996.558495,7993.817719,5028.065318,4666.507803,4500.545103
usp,3301.835771,3326.873447,3005.64514,4862.456677,5091.49294,4246.20975,2790.003324,3014.728183,2264.712157,3538.158481,2800.769117,3365.716972
PIG-K,2738.723106,2842.148547,2757.504669,2964.830106,2992.019982,3344.178469,2033.968314,2259.444262,1850.871575,2504.406024,2652.374457,2484.639231
CG3857,447.2788992,381.4964493,609.8663684,258.7672597,355.9347442,299.8228973,325.5255638,361.2227445,382.6503914,211.7859618,283.8227963,297.8042766
eIF2Bepsilon,4782.443614,4322.130361,5276.479941,3426.552079,3694.855593,3044.355572,3552.080572,4129.632973,4239.58376,2612.520536,2178.37598,2244.986085
Edem1,4104.644052,3755.495929,3891.611469,3901.804366,4211.593344,3910.510609,3380.632073,3512.911214,3604.368895,3518.905212,3142.220907,3267.036265
CG32801,0,0,0,0,0,0,0,0,0,0,0,0
trr,2086.154661,1660.631603,2000.85098,2503.108133,2668.607194,2224.327135,1731.856422,1610.685009,2007.583266,1640.970949,1645.307784,1668.761242
CG14818,3999.132106,3690.417122,3301.840983,6218.870678,5326.373736,7131.684813,2705.411994,3054.77505,2050.184502,4671.139326,4680.915052,5149.01832
CG14817,2613.714388,2988.014836,3091.271077,3056.159727,2948.657373,3567.123701,2064.179503,2301.893942,1907.926802,2377.038243,2855.516661,3041.480363
Pgam5,3127.511687,3395.318398,4172.080099,2836.292121,3176.311068,2816.285163,2247.712478,2736.001985,2415.337957,2145.999012,2587.541838,2461.731209
Pex5,4772.121794,4949.355405,4663.118637,8197.679135,8406.92571,7715.955074,4928.95552,4712.715363,4183.289269,6203.995763,4915.753203,5797.491538
Gcna,253.4580429,311.9294497,242.0243325,221.5588955,202.3588393,199.8819315,613.2871411,537.4289614,844.4173646,321.3814945,459.5912285,519.8358674
deltaCOP,29132.76563,27993.98504,32474.94725,25355.80887,29396.23497,26174.28267,20009.6259,23066.99566,20742.23772,16282.34171,14480.72551,16245.31139
Lamtor5,3851.186009,3958.586685,4371.291463,5011.290133,4708.456566,5348.122962,3125.347524,3061.983486,2743.215331,4081.693083,4123.354533,4149.876162
CG14811,0,0,1.747468104,13.53031423,3.613550703,15.37553319,349.6945152,370.0330554,478.5031733,401.356613,381.7920864,500.4521571
CG4025,2070.098495,1973.683101,1641.746284,2936.078188,2684.868172,3259.613037,1898.017962,1588.258764,1125.88982,2006.783065,2368.55166,1938.371031
Unc-76,3703.239911,3880.043299,2757.504669,11089.7838,10459.42251,10634.74379,5356.443848,4961.806879,3653.056022,8252.247408,7431.258798,6979.897867
csw,2710.051381,2472.99463,2128.416151,3659.949999,3904.441534,3431.306491,2420.671536,2242.624578,2411.534276,2751.736483,2014.133346,2396.531456
D2hgdh,25473.10674,15626.76779,35536.51137,8075.906306,8901.982156,7808.208273,15323.11517,21221.63601,28706.38672,8650.641979,6722.42217,8320.898189
Pgd,40134.67968,38140.66854,52937.79876,45414.49972,62870.3619,51208.2133,21588.91581,28497.35089,27051.78512,21049.74738,19955.47996,25272.83393
CG3630,412.87283,379.2523525,291.8271734,571.6557762,549.2597068,602.2083834,311.9305286,285.1336963,318.7485367,348.0398673,384.6735361,315.4258314
ND-B14.5A,8854.975335,8174.12245,10850.90319,7113.562707,7210.840427,9302.197582,4327.752855,6042.271363,5305.375406,4931.798971,6203.761223,7140.254016
Cyp4d2,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4ae1,4.587475889,1.12204838,6.989872418,0,3.613550703,15.37553319,3.021118921,6.407498794,6.085890916,0,2.881449709,0
pn,674.3589557,611.5163672,539.9676443,2068.446788,1902.534445,1675.933118,730.3554993,720.042677,619.2394007,1100.398389,1051.729144,1074.914844
CG17776,1968.027156,2363.033889,2507.61673,2293.388262,2029.00872,2818.847752,1239.414038,1589.860638,1091.656683,1432.147029,1982.4374,2414.153011
CG17777,6.881213834,6.732290281,6.989872418,3.382578558,16.26097816,5.125177731,108.0050014,96.11248191,82.15952737,93.30430486,112.3765386,88.10777413
CG3457,36.69980711,8.976387042,57.66644745,16.91289279,7.227101405,10.25035546,12.83975542,11.21312289,15.21472729,13.32918641,8.644349126,0
Mct1,31522.84057,43013.72465,25653.70551,89678.92272,83171.28975,84778.12744,44968.59987,37662.47697,17976.20029,65748.43349,46149.29853,55772.22103
CG14052,2.293737945,2.24409676,10.48480863,15.22160351,3.613550703,61.50213277,0,4.805624096,15.21472729,35.54449709,11.52579883,29.95664321
